0	112	[(0, 256), (1, 256), (1, 7)]	[255, 511, 3846]	
0	76	[(0, 128), (1, 128), (1, 57)]	[127, 255, 3768]	
1	16	[(0, 32), (1, 32), (0, 39)]	[31, 63, 3878]	
1	97	[(0, 128), (1, 128), (1, 89)]	[127, 255, 4056]	
0	1	[(0, 2), (1, 2), (0, 3)]	[1, 3, 4058]	
1	481	[(0, 1024), (1, 1024), (1, 985)]	[1023, 2047, 4056]	
0	112	[(0, 128), (1, 128), (0, 135)]	[127, 255, 3974]	
0	4	[(0, 4), (1, 4), (0, 5)]	[3, 7, 3772]	
0	12	[(0, 16), (1, 16), (1, 9)]	[15, 31, 3768]	
0	2	[(0, 32), (1, 32), (1, 5)]	[31, 63, 3876]	
1	112	[(0, 512), (1, 512), (1, 263)]	[511, 1023, 3846]	
0	16	[(0, 16), (1, 16), (0, 23)]	[15, 31, 3862]	
1	225	[(0, 256), (1, 256), (1, 217)]	[255, 511, 4056]	
1	8	[(0, 8), (1, 8), (0, 15)]	[7, 15, 3854]	
0	2	[(0, 4), (1, 4), (1, 1)]	[3, 7, 3876]	
1	1	[(0, 1), (1, 1), (0, 2)]	[0, 1, 3877]	
0	12	[(0, 32), (1, 32), (1, 25)]	[31, 63, 3768]	
0	194	[(0, 256), (1, 256), (1, 37)]	[255, 511, 3876]	
1	2	[(0, 2), (1, 2), (0, 3)]	[1, 3, 3770]	
1	1	[(0, 1), (1, 1), (0, 2)]	[0, 1, 3847]	
1	1505	[(0, 2048), (1, 2009)]	[2047, 4056]	
0	1648	[(0, 2048), (1, 1799)]	[2047, 3846]	
0	1	[(0, 16), (1, 16), (1, 9)]	[15, 31, 4056]	
1	66	[(0, 128), (1, 128), (0, 165)]	[127, 255, 4004]	
1	76	[(0, 256), (1, 256), (0, 441)]	[255, 511, 4024]	
1	194	[(0, 1024), (1, 1024), (1, 805)]	[1023, 2047, 3876]	
1	1	[(0, 32), (1, 32), (0, 57)]	[31, 63, 4088]	
0	1	[(0, 1), (1, 1), (0, 2)]	[0, 1, 4057]	
0	1	[(0, 4), (1, 4), (0, 5)]	[3, 7, 4060]	
1	1	[(0, 1), (1, 1), (0, 2)]	[0, 1, 3769]	
0	194	[(0, 512), (1, 512), (1, 293)]	[511, 1023, 3876]	
0	2	[(0, 16), (1, 16), (0, 21)]	[15, 31, 3892]	
1	4	[(0, 4), (1, 4), (1, 3)]	[3, 7, 3846]	
1	332	[(0, 512), (1, 512), (1, 185)]	[511, 1023, 3768]	
1	624	[(0, 1024), (1, 1024), (1, 775)]	[1023, 2047, 3846]	
1	12	[(0, 64), (1, 64), (0, 121)]	[63, 127, 3832]	
0	844	[(0, 1024), (1, 1024), (1, 697)]	[1023, 2047, 3768]	
0	844	[(0, 2048), (1, 1721)]	[2047, 3768]	
1	2	[(0, 2), (1, 2), (1, 1)]	[1, 3, 3846]	
0	481	[(0, 512), (1, 512), (1, 473)]	[511, 1023, 4056]	
1	48	[(0, 64), (1, 64), (0, 71)]	[63, 127, 3910]	
0	2	[(0, 8), (1, 8), (0, 13)]	[7, 15, 3884]	
1	2	[(0, 64), (1, 64), (0, 101)]	[63, 127, 3940]	
0	1	[(0, 8), (1, 8), (1, 1)]	[7, 15, 4056]	
1	4	[(0, 8), (1, 8), (1, 1)]	[7, 15, 3768]	
0	2	[(0, 2), (1, 2), (0, 3)]	[1, 3, 3878]	
1	33	[(0, 64), (1, 64), (1, 25)]	[63, 127, 4056]	
0	1218	[(0, 2048), (1, 1829)]	[2047, 3876]	
